b'Ping:',b'51.16',b'ms',b'Download:',b'17.86',b'Mbit/s',b'Upload:',b'13.95',b'Mbit/s',2025-02-28 19:22:47
b'Ping:',b'56.175',b'ms',b'Download:',b'16.62',b'Mbit/s',b'Upload:',b'11.48',b'Mbit/s',2025-02-28 19:22:47
b'Ping:',b'52.592',b'ms',b'Download:',b'11.07',b'Mbit/s',b'Upload:',b'16.78',b'Mbit/s',2025-02-28 19:22:47
b'Ping:',b'57.073',b'ms',b'Download:',b'16.80',b'Mbit/s',b'Upload:',b'14.30',b'Mbit/s',2025-02-28 19:22:47
b'Ping:',b'54.645',b'ms',b'Download:',b'10.86',b'Mbit/s',b'Upload:',b'14.60',b'Mbit/s',2025-02-28 19:22:47
b'Ping:',b'50.727',b'ms',b'Download:',b'15.27',b'Mbit/s',b'Upload:',b'11.26',b'Mbit/s',2025-02-28 19:22:47
b'Ping:',b'49.768',b'ms',b'Download:',b'13.48',b'Mbit/s',b'Upload:',b'16.27',b'Mbit/s',2025-02-28 19:22:47
b'Ping:',b'51.126',b'ms',b'Download:',b'12.99',b'Mbit/s',b'Upload:',b'17.51',b'Mbit/s',2025-02-28 19:22:47
b'Ping:',b'55.486',b'ms',b'Download:',b'13.63',b'Mbit/s',b'Upload:',b'8.93',b'Mbit/s',2025-02-28 19:22:47
b'Ping:',b'54.838',b'ms',b'Download:',b'12.74',b'Mbit/s',b'Upload:',b'15.61',b'Mbit/s',2025-02-28 19:22:47
b'Ping:',b'53.017',b'ms',b'Download:',b'13.39',b'Mbit/s',b'Upload:',b'14.64',b'Mbit/s',2025-02-28 19:22:47
b'Ping:',b'52.769',b'ms',b'Download:',b'13.03',b'Mbit/s',b'Upload:',b'14.17',b'Mbit/s',2025-02-28 19:22:47
b'Ping:',b'57.392',b'ms',b'Download:',b'11.79',b'Mbit/s',b'Upload:',b'16.33',b'Mbit/s',2025-02-28 19:22:47
b'Ping:',b'53.194',b'ms',b'Download:',b'13.79',b'Mbit/s',b'Upload:',b'12.33',b'Mbit/s',2025-02-28 19:22:47
b'Ping:',b'57.126',b'ms',b'Download:',b'13.17',b'Mbit/s',b'Upload:',b'13.70',b'Mbit/s',2025-02-28 19:22:47
b'Ping:',b'49.72',b'ms',b'Download:',b'11.31',b'Mbit/s',b'Upload:',b'15.37',b'Mbit/s',2025-02-28 19:22:47
b'Ping:',b'49.891',b'ms',b'Download:',b'12.08',b'Mbit/s',b'Upload:',b'13.75',b'Mbit/s',2025-02-28 19:22:47
